2024-06-28 17:27:02,667 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Configure stats pid to 15619
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Loading settings from /home/brett/.config/wandb/settings
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Loading settings from /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/settings
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/brett/Desktop/tutorials/ijepa/ijepa/main.py', 'program': '/home/brett/Desktop/tutorials/ijepa/ijepa/main.py'}
2024-06-28 17:27:02,668 INFO    MainThread:15619 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-28 17:27:02,669 INFO    MainThread:15619 [wandb_init.py:_log_setup():520] Logging user logs to /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/run-20240628_172702-99eblklw/logs/debug.log
2024-06-28 17:27:02,669 INFO    MainThread:15619 [wandb_init.py:_log_setup():521] Logging internal logs to /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/run-20240628_172702-99eblklw/logs/debug-internal.log
2024-06-28 17:27:02,669 INFO    MainThread:15619 [wandb_init.py:init():560] calling init triggers
2024-06-28 17:27:02,669 INFO    MainThread:15619 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'data': {'batch_size': 96, 'color_jitter_strength': 0.0, 'crop_scale': [0.3, 1.0], 'crop_size': 224, 'image_folder': 'imagenet_full_size/061417/', 'num_workers': 10, 'pin_mem': True, 'root_path': '$replace_this_with_absolute_path_to_your_datasets_directory', 'use_color_distortion': False, 'use_gaussian_blur': False, 'use_horizontal_flip': False}, 'logging': {'folder': '/home/brett/Desktop/tutorials/ijepa/ijepa/logs/tiny_vit', 'write_tag': 'jepa'}, 'mask': {'allow_overlap': False, 'aspect_ratio': [0.75, 1.5], 'enc_mask_scale': [0.85, 1.0], 'min_keep': 10, 'num_enc_masks': 1, 'num_pred_masks': 4, 'patch_size': 14, 'pred_mask_scale': [0.15, 0.2]}, 'meta': {'copy_data': False, 'load_checkpoint': False, 'model_name': 'vit_tiny', 'pred_depth': 12, 'pred_emb_dim': 384, 'read_checkpoint': None, 'use_bfloat16': False}, 'optimization': {'ema': [0.996, 1.0], 'epochs': 10, 'final_lr': 1e-06, 'final_weight_decay': 0.4, 'ipe_scale': 1.0, 'lr': 0.001, 'start_lr': 0.0002, 'warmup': 40, 'weight_decay': 0.04}}
2024-06-28 17:27:02,670 INFO    MainThread:15619 [wandb_init.py:init():610] starting backend
2024-06-28 17:27:02,670 INFO    MainThread:15619 [wandb_init.py:init():614] setting up manager
2024-06-28 17:27:02,677 INFO    MainThread:15619 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-28 17:27:02,679 INFO    MainThread:15619 [wandb_init.py:init():622] backend started and connected
2024-06-28 17:27:02,692 INFO    MainThread:15619 [wandb_init.py:init():711] updated telemetry
2024-06-28 17:27:02,718 INFO    MainThread:15619 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-28 17:27:03,642 INFO    MainThread:15619 [wandb_run.py:_on_init():2402] communicating current version
2024-06-28 17:27:03,804 INFO    MainThread:15619 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-28 17:27:03,806 INFO    MainThread:15619 [wandb_init.py:init():795] starting run threads in backend
2024-06-28 17:27:17,955 INFO    MainThread:15619 [wandb_run.py:_console_start():2380] atexit reg
2024-06-28 17:27:17,955 INFO    MainThread:15619 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-28 17:27:17,955 INFO    MainThread:15619 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-28 17:27:17,955 INFO    MainThread:15619 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-28 17:27:17,957 INFO    MainThread:15619 [wandb_init.py:init():838] run started, returning control to user process
